------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    41.3589   16.1972     01.09.2019 06:00:00     0.135     5.000
    41.3589   16.1972     01.09.2019 07:00:00     0.070     5.000
    41.3589   16.1972     01.09.2019 08:00:00    -0.003     5.000
    41.3589   16.1972     01.09.2019 09:00:00    -0.068     5.000
    41.3589   16.1972     01.09.2019 10:00:00    -0.110     5.000
    41.3589   16.1972     01.09.2019 11:00:00    -0.121     5.000
    41.3589   16.1972     01.09.2019 12:00:00    -0.101     5.000
    41.3589   16.1972     01.09.2019 13:00:00    -0.059     5.000
    41.3589   16.1972     01.09.2019 14:00:00    -0.007     5.000
    41.3589   16.1972     01.09.2019 15:00:00     0.038     5.000
    41.3589   16.1972     01.09.2019 16:00:00     0.064     5.000
    41.3589   16.1972     01.09.2019 17:00:00     0.063     5.000
    41.3589   16.1972     01.09.2019 18:00:00     0.035     5.000
    41.3589   16.1972     01.09.2019 19:00:00    -0.011     5.000
    41.3589   16.1972     01.09.2019 20:00:00    -0.063     5.000
    41.3589   16.1972     01.09.2019 21:00:00    -0.106     5.000
    41.3589   16.1972     01.09.2019 22:00:00    -0.126     5.000
    41.3589   16.1972     01.09.2019 23:00:00    -0.116     5.000
    41.3589   16.1972     01.10.2019 00:00:00    -0.077     5.000
    41.3589   16.1972     01.10.2019 01:00:00    -0.015     5.000
    41.3589   16.1972     01.10.2019 02:00:00     0.055     5.000
    41.3589   16.1972     01.10.2019 03:00:00     0.118     5.000
    41.3589   16.1972     01.10.2019 04:00:00     0.159     5.000
    41.3589   16.1972     01.10.2019 05:00:00     0.169     5.000
    41.3589   16.1972     01.10.2019 06:00:00     0.146     5.000
    41.3589   16.1972     01.10.2019 07:00:00     0.095     5.000
    41.3589   16.1972     01.10.2019 08:00:00     0.030     5.000
    41.3589   16.1972     01.10.2019 09:00:00    -0.035     5.000
    41.3589   16.1972     01.10.2019 10:00:00    -0.086     5.000
    41.3589   16.1972     01.10.2019 11:00:00    -0.112     5.000
    41.3589   16.1972     01.10.2019 12:00:00    -0.109     5.000
    41.3589   16.1972     01.10.2019 13:00:00    -0.081     5.000
    41.3589   16.1972     01.10.2019 14:00:00    -0.038     5.000
    41.3589   16.1972     01.10.2019 15:00:00     0.007     5.000
    41.3589   16.1972     01.10.2019 16:00:00     0.042     5.000
    41.3589   16.1972     01.10.2019 17:00:00     0.056     5.000
    41.3589   16.1972     01.10.2019 18:00:00     0.045     5.000
    41.3589   16.1972     01.10.2019 19:00:00     0.014     5.000
    41.3589   16.1972     01.10.2019 20:00:00    -0.028     5.000
    41.3589   16.1972     01.10.2019 21:00:00    -0.070     5.000
    41.3589   16.1972     01.10.2019 22:00:00    -0.098     5.000
    41.3589   16.1972     01.10.2019 23:00:00    -0.103     5.000
    41.3589   16.1972     01.11.2019 00:00:00    -0.082     5.000
    41.3589   16.1972     01.11.2019 01:00:00    -0.038     5.000
    41.3589   16.1972     01.11.2019 02:00:00     0.021     5.000
    41.3589   16.1972     01.11.2019 03:00:00     0.080     5.000
    41.3589   16.1972     01.11.2019 04:00:00     0.126     5.000
    41.3589   16.1972     01.11.2019 05:00:00     0.149     5.000
    41.3589   16.1972     01.11.2019 06:00:00     0.143     5.000
    41.3589   16.1972     01.11.2019 07:00:00     0.110     5.000
    41.3589   16.1972     01.11.2019 08:00:00     0.057     5.000
    41.3589   16.1972     01.11.2019 09:00:00    -0.003     5.000
    41.3589   16.1972     01.11.2019 10:00:00    -0.057     5.000
    41.3589   16.1972     01.11.2019 11:00:00    -0.094     5.000
    41.3589   16.1972     01.11.2019 12:00:00    -0.106     5.000
    41.3589   16.1972     01.11.2019 13:00:00    -0.095     5.000
    41.3589   16.1972     01.11.2019 14:00:00    -0.065     5.000
    41.3589   16.1972     01.11.2019 15:00:00    -0.025     5.000
    41.3589   16.1972     01.11.2019 16:00:00     0.013     5.000
    41.3589   16.1972     01.11.2019 17:00:00     0.038     5.000
    41.3589   16.1972     01.11.2019 18:00:00     0.044     5.000
    41.3589   16.1972     01.11.2019 19:00:00     0.031     5.000
    41.3589   16.1972     01.11.2019 20:00:00     0.003     5.000
    41.3589   16.1972     01.11.2019 21:00:00    -0.032     5.000
    41.3589   16.1972     01.11.2019 22:00:00    -0.061     5.000
    41.3589   16.1972     01.11.2019 23:00:00    -0.077     5.000
    41.3589   16.1972     01.12.2019 00:00:00    -0.072     5.000
    41.3589   16.1972     01.12.2019 01:00:00    -0.047     5.000
    41.3589   16.1972     01.12.2019 02:00:00    -0.006     5.000
    41.3589   16.1972     01.12.2019 03:00:00     0.043     5.000
    41.3589   16.1972     01.12.2019 04:00:00     0.087     5.000
    41.3589   16.1972     01.12.2019 05:00:00     0.117     5.000
    41.3589   16.1972     01.12.2019 06:00:00     0.126     5.000
    41.3589   16.1972     01.12.2019 07:00:00     0.111     5.000
    41.3589   16.1972     01.12.2019 08:00:00     0.075     5.000
    41.3589   16.1972     01.12.2019 09:00:00     0.027     5.000
    41.3589   16.1972     01.12.2019 10:00:00    -0.024     5.000
